"gene"	"pool3"	"pool7"	"pool9"	"pool10"	"pool11"	"pool12"	"pool1"	"pool2"	"pool5"
"CHD9"	"0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278"	NA	NA	NA	NA	NA	NA	NA	NA
"PITHD1"	"0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278;0.00194524367134278"	NA	NA	NA	NA	NA	NA	NA	NA
"JMJD1C"	"0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216"	NA	NA	NA	NA	NA	NA	NA	NA
"VCAN"	"0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216"	NA	NA	NA	NA	NA	NA	NA	NA
"NF1"	"0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216"	"0.00108225108225108"	NA	NA	NA	NA	NA	NA	NA
"CAB39L"	"0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216"	NA	NA	NA	NA	NA	NA	NA	NA
"TAOK1"	"0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216"	NA	NA	NA	NA	NA	NA	NA	NA
"SUV420H1"	"0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216"	NA	NA	NA	NA	NA	NA	NA	NA
"DYRK2"	"0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216;0.00216450216450216"	NA	NA	NA	NA	NA	NA	NA	NA
"RNF8"	"0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417"	NA	NA	NA	NA	NA	NA	NA	NA
"NSUN7"	"0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417;0.0075121425683417"	NA	NA	NA	NA	NA	NA	NA	NA
"GPR183"	"0.0232420593031584;0.0232420593031584;0.0232420593031584;0.0232420593031584;0.0232420593031584;0.0232420593031584;0.0232420593031584;0.0232420593031584;0.0232420593031584;0.0232420593031584;0.0232420593031584;0.0232420593031584"	NA	NA	NA	NA	NA	NA	NA	NA
"NDUFA6"	"0.0242030095880738;0.0242030095880738;0.0242030095880738;0.0242030095880738;0.0242030095880738;0.0242030095880738;0.0242030095880738;0.0242030095880738;0.0242030095880738;0.0242030095880738;0.0242030095880738;0.0242030095880738"	NA	NA	NA	NA	NA	NA	NA	NA
"USP37"	"0.0248729953607515;0.0248729953607515;0.0248729953607515;0.0248729953607515;0.0248729953607515;0.0248729953607515;0.0248729953607515;0.0248729953607515;0.0248729953607515;0.0248729953607515;0.0248729953607515;0.0248729953607515"	NA	NA	NA	NA	NA	NA	NA	NA
"UBE2L3"	"0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026"	NA	NA	NA	NA	NA	NA	NA	NA
"KLHL21"	"0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026;0.025974025974026"	NA	NA	NA	NA	NA	NA	NA	NA
"NRBP2"	"0.0265136956012634;0.0265136956012634;0.0265136956012634;0.0265136956012634;0.0265136956012634;0.0265136956012634;0.0265136956012634;0.0265136956012634;0.0265136956012634;0.0265136956012634;0.0265136956012634;0.0265136956012634"	NA	NA	NA	NA	NA	NA	NA	NA
"BBS2"	"0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263"	NA	NA	NA	NA	NA	NA	NA	NA
"TPSD1"	"0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263"	NA	NA	NA	NA	NA	NA	NA	NA
"HIST1H2BJ"	"0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263"	NA	NA	NA	NA	NA	NA	NA	NA
"DCLRE1B"	"0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263;0.036576612062263"	NA	NA	NA	NA	NA	NA	NA	NA
"SEC13"	"0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333"	NA	NA	NA	NA	NA	NA	NA	NA
"SCGB3A1"	"0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333;0.0379265715449333"	NA	NA	NA	NA	NA	NA	NA	NA
"ETNK2"	"0.0400211351791566;0.0400211351791566;0.0400211351791566;0.0400211351791566;0.0400211351791566;0.0400211351791566;0.0400211351791566;0.0400211351791566;0.0400211351791566;0.0400211351791566;0.0400211351791566;0.0400211351791566"	NA	NA	NA	NA	NA	NA	NA	NA
"EID3"	NA	"0.00108225108225108"	NA	NA	NA	NA	NA	NA	NA
"GAN"	NA	NA	"0.0170471465962952"	NA	NA	NA	NA	NA	NA
"GNB1L"	NA	NA	"0.041069280554045"	NA	NA	NA	NA	NA	NA
"OXSM"	NA	NA	"0.041069280554045"	NA	NA	NA	NA	NA	NA
"KIAA0141"	NA	NA	"0.041069280554045"	NA	NA	NA	NA	NA	NA
"RBM7"	NA	NA	"0.0411255411255411"	NA	NA	NA	NA	NA	NA
"BPTF"	NA	NA	NA	"0.0304282250239509"	NA	NA	NA	NA	NA
"SGSM2"	NA	NA	NA	"0.0318346962920398"	NA	NA	NA	NA	NA
"RASL12"	NA	NA	NA	"0.0318346962920398"	NA	NA	NA	NA	NA
"CACNA2D1"	NA	NA	NA	"0.0434913118716677"	NA	NA	NA	NA	NA
"MAP3K14"	NA	NA	NA	"0.0460625518458546"	NA	NA	NA	NA	NA
"CTSL2"	NA	NA	NA	NA	"0.0281021903842455"	NA	NA	NA	NA
"PPME1"	NA	NA	NA	NA	"0.0370049849931174"	NA	NA	NA	NA
"RNF114"	NA	NA	NA	NA	"0.0452060323500485"	NA	NA	NA	NA
"PAGE4"	NA	NA	NA	NA	NA	"0.00194524367134278"	NA	NA	NA
"RIN3"	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA	NA
"TF"	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA	NA
"MOGAT3"	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA	NA
"AKAP17A"	NA	NA	NA	NA	NA	"0.00432900432900433"	NA	NA	NA
"CMKLR1"	NA	NA	NA	NA	NA	"0.00865800865800866"	NA	NA	NA
"TMPRSS2"	NA	NA	NA	NA	NA	"0.0344472101039359"	NA	NA	NA
"ATG7"	NA	NA	NA	NA	NA	"0.041069280554045"	NA	NA	NA
"CUL3"	NA	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA
"ICA1L"	NA	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA
"BCL7A"	NA	NA	NA	NA	NA	NA	"0.0344472101039359"	NA	NA
"ERBB3"	NA	NA	NA	NA	NA	NA	NA	"0.0324675324675325"	NA
"TRIM23"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00287057118961934"
"PCBP1"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00287057118961934"
"NEU2"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00287057118961934"
"AKR1C3"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00287057118961934"
"KIAA1211"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00287057118961934"
"METTL22"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00653092260036473"
"MANF"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00696095666407199"
"SIGLEC7"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0307592215415707"
"TTLL11"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0332839831906398"
"DDX54"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0345532623841363"
