tag	gene	fc	pvals	Pool
RRUH-103948	CUL3	9.65335275573655	0.00396825396825397	pool1
RRUH-150412	CUL3	1.19685071284018	0.0556051708761884	pool3
ULTRA-3327857	NF1	8.33403559457531	0.00108225108225108	pool7
RRUH-156067	NF1	11.2939104861485	0.00216450216450216	pool3
RRUH-149060	SUV420H1	11.4348233846698	0.00216450216450216	pool3
RRUH-150488	SUV420H1	4.56591123737793	0.00216450216450216	pool3
ULTRA-3252872	SIN3B	9.35358153373057	0.0174825174825175	pool8
ULTRA-3257836	FJX1	9.10251295889506	0.0174825174825175	pool8
ULTRA-3275945	MLNR	8.9651136644709	0.0174825174825175	pool8
ULTRA-3325906	CARD17	8.8678896974319	0.0174825174825175	pool8
ULTRA-3202394	C1QTNF7	8.81911392095484	0.0174825174825175	pool8
ULTRA-3304203	HOXD11	8.5745013094074	0.0174825174825175	pool8
ULTRA-3346308	PPY	7.88945491484529	0.0174825174825175	pool8
ULTRA-3414819	FADS2	7.79260065295144	0.0174825174825175	pool8
ULTRA-3235676	CREG2	6.00763554599591	0.0174825174825175	pool8
ULTRA-3271704	SNX5	5.76788850822994	0.0110722610722611	pool8
ULTRA-3352280	PCBP4	5.26884628209354	0.0174825174825175	pool8
ULTRA-3328687	EID3	8.73440404696693	0.00108225108225108	pool7
ULTRA-3191770	RBM7	10.0092926729402	0.0411255411255411	pool9
ULTRA-3344341	OXSM	9.72450553753493	0.041069280554045	pool9
ULTRA-3413371	SOCS6	9.68982085605137	0.075481159880126	pool9
ULTRA-3252878	FMO5	9.49850747764772	0.0627705627705628	pool9
ULTRA-3398917	GAN	9.45011983366363	0.0170471465962952	pool9
ULTRA-3342424	GNB1L	8.93988708331903	0.041069280554045	pool9
ULTRA-3219736	C22orf42	7.37859619310564	0.0846445308351945	pool9
ULTRA-3255469	EDC4	3.28771265782905	0.0627705627705628	pool9
ULTRA-3306680	APOBEC1	2.26102918394353	0.0627705627705628	pool9
ULTRA-3335583	TUBD1	0.423929069695701	0.0834970589630927	pool9
ULTRA-3354937	SEMA4G	0.41065426778951	0.0954206364804796	pool9
ULTRA-3433427	UAP1L1	10.1437288486408	0.066017316017316	pool11
ULTRA-3438664	MPST	9.63087711455083	0.0898268398268398	pool11
ULTRA-3248682	DOLK	8.45021041319293	0.0911435878694467	pool11
ULTRA-3203111	DNTTIP1	8.32646996349294	0.0731271287728108	pool11
ULTRA-3406615	ZFYVE19	7.96534267913414	0.0515473504563708	pool11
ULTRA-3336598	PPME1	7.41432575122682	0.0370049849931174	pool11
ULTRA-3348273	RNF114	0.488669468768336	0.0452060323500485	pool11
ULTRA-3266470	POT1	10.1860924497679	0.0627705627705628	pool12
ULTRA-3438629	MOGAT3	9.95297974964291	0.00216450216450216	pool12
ULTRA-3483029	TF	9.9304077062982	0.00216450216450216	pool12
ULTRA-3428906	NMUR1	9.91253707053587	0.0887445887445887	pool12
ULTRA-3352688	TRIM54	9.78547399889689	0.0846445308351945	pool12
ULTRA-3412710	MRPS36	9.75727156596856	0.0887445887445887	pool12
ULTRA-3423267	ATG7	9.75584098074226	0.041069280554045	pool12
ULTRA-3429897	PIKFYVE	9.59968666609435	0.0887445887445887	pool12
ULTRA-3306989	SYT10	9.50913029122715	0.0887445887445887	pool12
ULTRA-3410533	SLC25A14	8.82450168540542	0.0556051708761884	pool12
ULTRA-3396398	RIN3	7.66535678195191	0.00216450216450216	pool12
ULTRA-3400610	AKAP17A	6.68301042815269	0.00432900432900433	pool12
ULTRA-3410159	FCHSD1	6.00547523787302	0.0627705627705628	pool12
ULTRA-3308939	IL9	5.06309533710541	0.0627705627705628	pool12
ULTRA-3424379	CMKLR1	4.49635699656599	0.00865800865800866	pool12
ULTRA-3407473	KIAA1671	0.498433778236839	0.0556051708761884	pool12
RRUH-138172	ICA1L	8.96929848329492	0.00396825396825397	pool1
RRUH-105182	ERBB3	10.516854438753	0.0324675324675325	pool2
RRUH-150102	USP44	11.1269631369454	0.0556051708761884	pool3
RRUH-153639	CAB39L	11.0976197189968	0.00216450216450216	pool3
RRUH-151168	ETNK2	11.0693666593017	0.0400211351791566	pool3
RRUH-155806	SLC38A5	11.0650180260058	0.0978101056931209	pool3
RRUH-156092	THEG5	11.059482701875	0.0627705627705628	pool3
RRUH-152790	USP37	10.8463482173938	0.0248729953607515	pool3
RRUH-153562	TAOK1	10.8186767207885	0.00216450216450216	pool3
RRUH-158884	SCGB3A1	10.7871371400174	0.0379265715449333	pool3
RRUH-153825	KDM5C	10.7614392778917	0.0887445887445887	pool3
RRUH-154190	SOST	10.6925313456102	0.0846445308351945	pool3
RRUH-150618	KDM2B	10.6311768813127	0.0954206364804796	pool3
RRUH-149030	IPPK	10.6279188915265	0.0954206364804796	pool3
RRUH-150969	AMZ2	10.49834456855	0.0556051708761884	pool3
RRUH-158718	GNAT1	10.4810471812956	0.0846445308351945	pool3
RRUH-159441	TWISTNB	10.4332443512809	0.0954206364804796	pool3
RRUH-154017	PITHD1	10.3854473530054	0.00194524367134278	pool3
RRUH-155926	NSUN7	10.375714561528	0.0075121425683417	pool3
RRUH-153109	ACP6	10.3016721439708	0.075481159880126	pool3
RRUH-150406	ARL8A	10.2709927311605	0.0834970589630927	pool3
RRUH-155876	HIST1H2BJ	10.249087115055	0.036576612062263	pool3
RRUH-149886	CHD9	10.2190843369603	0.00194524367134278	pool3
RRUH-158420	BBS2	10.1517722580617	0.036576612062263	pool3
RRUH-152987	GIGYF2	10.1513950952615	0.075481159880126	pool3
RRUH-154545	DCLRE1B	10.0079781724844	0.036576612062263	pool3
RRUH-153984	RNF8	10.0055138565575	0.0075121425683417	pool3
RRUH-152237	GPR183	9.84534441882092	0.0232420593031584	pool3
RRUH-153917	TPSD1	9.72291335141329	0.036576612062263	pool3
RRUH-151664	MYLK	9.68354359666957	0.0563750936774293	pool3
RRUH-153972	ASXL2	9.52477719882735	0.0556051708761884	pool3
RRUH-159634	DNAJC1	9.30623302168872	0.0518020974939382	pool3
RRUH-148970	CHD1L	8.95169928817208	0.0556051708761884	pool3
RRUH-154387	VPS11	7.93132794893611	0.0627705627705628	pool3
RRUH-159152	SNURF	7.57581298359314	0.0556051708761884	pool3
RRUH-151427	NDUFA6	7.40834119055768	0.0242030095880738	pool3
RRUH-150575	DYRK2	7.38491049570391	0.00216450216450216	pool3
RRUH-151617	VCAN	5.59282345898565	0.00216450216450216	pool3
RRUH-152913	KLHL21	5.5064548876704	0.025974025974026	pool3
RRUH-149650	JMJD1C	3.69647240196712	0.00216450216450216	pool3
RRUH-155176	UBE2L3	3.24340196490488	0.025974025974026	pool3
RRUH-153753	SEC13	3.18835766913315	0.0379265715449333	pool3
RRUH-149772	NRBP2	3.18328450982573	0.0265136956012634	pool3
RRUH-159221	KCTD2	2.55500272485894	0.0627705627705628	pool3
RRUH-160969	ZYG11B	7.43903005709867	0.0627705627705628	pool4
ULTRA-3393181	MANF	16.6436779080445	0.00696095666407199	pool5
ULTRA-3334667	PCBP1	16.2132240062614	0.00287057118961934	pool5
ULTRA-3393992	METTL22	15.9351292875069	0.00653092260036473	pool5
ULTRA-3408322	AKR1C3	15.7966836005051	0.00287057118961934	pool5
ULTRA-3271198	SIGLEC7	12.0334008783204	0.0307592215415707	pool5
ULTRA-3222168	TTLL11	7.48272312676411	0.0332839831906398	pool5
ULTRA-3393775	DDX54	4.3217915185605	0.0345532623841363	pool5
ULTRA-3327832	NEU2	1.04981150132807	0.00287057118961934	pool5
ULTRA-3316945	TRIM23	0.992041549602515	0.00287057118961934	pool5
ULTRA-3353874	KIAA1211	0.56404903547679	0.00287057118961934	pool5
