gene	pool1	pool10	pool11	pool12	pool2	pool3	pool4	pool5	pool6	pool7	pool8	pool9
HOXD11	0	0	0	0	0	0	0	0	0	0	1	0
SIN3B	0	0	0	0	0	0	0	0	0	0	1	0
MLNR	0	0	0	0	0	0	0	0	0	0	1	0
CARD17	0	0	0	0	0	0	0	0	0	0	1	0
FJX1	0	0	0	0	0	0	0	0	0	0	1	0
C1QTNF7	0	0	0	0	0	0	0	0	0	0	1	0
PCBP4	0	0	0	0	0	0	0	0	0	0	1	0
CREG2	0	0	0	0	0	0	0	0	0	0	1	0
PPY	0	0	0	0	0	0	0	0	0	0	1	0
SNX5	0	0	0	0	0	0	0	0	0	0	1	0
FADS2	0	0	0	0	0	0	0	0	0	0	1	0
NF1	0	0	0	0	0	1	0	0	0	1	0	0
EID3	0	0	0	0	0	0	0	0	0	1	0	0
PAGE4	0	0	0	1	0	0	0	0	0	0	0	0
AKAP17A	0	0	0	1	0	0	0	0	0	0	0	0
ATG7	0	0	0	1	0	0	0	0	0	0	0	0
MOGAT3	0	0	0	1	0	0	0	0	0	0	0	0
ICA1L	1	0	0	0	0	0	0	0	0	0	0	0
ERBB3	0	0	0	0	1	0	0	0	0	0	0	0
CHD9	0	0	0	0	0	1	0	0	0	0	0	0
PITHD1	0	0	0	0	0	1	0	0	0	0	0	0
VCAN	0	0	0	0	0	1	0	0	0	0	0	0
SUV420H1	0	0	0	0	0	2	0	0	0	0	0	0
ETNK2	0	0	0	0	0	1	0	0	0	0	0	0
JMJD1C	0	0	0	0	0	1	0	0	0	0	0	0
CAB39L	0	0	0	0	0	1	0	0	0	0	0	0
TAOK1	0	0	0	0	0	1	0	0	0	0	0	0
DYRK2	0	0	0	0	0	1	0	0	0	0	0	0
AMZ2	0	0	0	0	0	1	0	0	0	0	0	0
TPSD1	0	0	0	0	0	1	0	0	0	0	0	0
HIST1H2BJ	0	0	0	0	0	1	0	0	0	0	0	0
GPR183	0	0	0	0	0	1	0	0	0	0	0	0
CHD1L	0	0	0	0	0	1	0	0	0	0	0	0
USP37	0	0	0	0	0	1	0	0	0	0	0	0
DNAJC1	0	0	0	0	0	1	0	0	0	0	0	0
FKBP3	0	0	0	0	0	0	1	0	0	0	0	0
KIAA1211	0	0	0	0	0	0	0	1	0	0	0	0
NEU2	0	0	0	0	0	0	0	1	0	0	0	0
TRIM23	0	0	0	0	0	0	0	1	0	0	0	0
PCBP1	0	0	0	0	0	0	0	1	0	0	0	0
AKR1C3	0	0	0	0	0	0	0	1	0	0	0	0
METTL22	0	0	0	0	0	0	0	1	0	0	0	0
MANF	0	0	0	0	0	0	0	1	0	0	0	0
SIGLEC7	0	0	0	0	0	0	0	1	0	0	0	0
OVOL1	0	0	0	0	0	0	0	0	1	0	0	0
MYO19	0	0	0	0	0	0	0	0	1	0	0	0
TSPYL1	0	0	0	0	0	0	0	0	1	0	0	0
