shRN_AID	GeneSymbol	EntrezID	Pool	shRNA_start	Mean_T14.T0	T14.T0_A	T14.T0_B	Reads_A_T0	Reads_A_T14	Reads_B_T0	Reads_B_T14
100043305.158	100043305	100043305	LIB	158	0.200312349	0.268684264	0.131940433	34133	9171	31158	4111
100043305.369	100043305	100043305	LIB	369	0.665480322	0.000178923	1.330781721	5589	1	4311	5737
100043305.412	100043305	100043305	LIB	412	0.053604401	0.0019678	0.105241002	5590	11	4751	500
100043305.458	100043305	100043305	LIB	458	0.410099904	0.199787845	0.620411962	38651	7722	24711	15331
2900092E17Rik.377	2900092E17Rik	67278	LIB	377	0.002146138	0.00204099	0.002251286	11759	24	9328	21
2900092E17Rik.546	2900092E17Rik	67278	LIB	546	0.004655918	0.008377548	0.000934288	3581	30	3211	3
2900092E17Rik.1051	2900092E17Rik	67278	LIB	1051	0.273324357	0.165854931	0.380793783	11498	1907	10809	4116
2900092E17Rik.1361	2900092E17Rik	67278	LIB	1361	0.2489911	0.201788909	0.29619329	5590	1128	5753	1704
Actl6b.379	Actl6b	83766	LIB	379	0.449690571	0.432060881	0.467320261	8147	3520	8262	3861
Actl6b.819	Actl6b	83766	LIB	819	0.557452935	0.742589485	0.372316384	7152	5311	7080	2636
Actl6b.917	Actl6b	83766	LIB	917	0.001775631	0.000845309	0.002705953	3549	3	3326	9
Actl6b.989	Actl6b	83766	LIB	989	0.234356062	0.322320709	0.146391415	9928	3200	12207	1787
Actl6b.1221	Actl6b	83766	LIB	1221	0.056185902	0.070641078	0.041730727	2449	173	4553	190
Alkbh2.462	Alkbh2	231642	LIB	462	0.221138799	0	0.442277597	8219	0	8307	3674
Alkbh2.557	Alkbh2	231642	LIB	557	0.564841845	0.680914972	0.448768717	17312	11788	16162	7253
Alkbh2.590	Alkbh2	231642	LIB	590	NA	NA	NA	908	0	3	0
Alkbh2.640	Alkbh2	231642	LIB	640	0.274406089	0.334058432	0.214753745	29881	9982	32507	6981
Alkbh2.641	Alkbh2	231642	LIB	641	0.625663102	1.012713108	0.238613096	30677	31067	21977	5244
Alkbh3.552	Alkbh3	69113	LIB	552	0.035169734	0.012261229	0.058078239	7748	95	10813	628
